code,category,long_description,short_description
33106,1.0,,Cardiovascular system
56572,1.0,,Female genital system
73608,1.0,,Diagnostic imaging
47594,1.0,,Digestive system
48429,1.0,,Digestive system
28172,1.0,,Musculoskeletal system
35925,1.0,,Cardiovascular system
25598,1.0,,Musculoskeletal system
Q4051,,"Splint supplies, miscellaneous (includes thermoplastics, strapping, fasteners, padding and other supplies)",Splint supplies misc
74646,1.0,,Diagnostic imaging
44966,1.0,,Digestive system
53883,1.0,,Urinary system
80101,1.0,,Drug testing
78920,1.0,,Nuclear medicine
72338,1.0,,Diagnostic imaging
14287,1.0,,Integumentary system
74173,1.0,,Diagnostic imaging
49773,1.0,,Digestive system
58594,1.0,,Female genital system
65483,1.0,,Eye and ocular adnexa
57337,1.0,,Female genital system
49036,1.0,,Digestive system
Q0112,,All potassium hydroxide (koh) preparations,Potassium hydroxide preps
44001,1.0,,Digestive system
37797,1.0,,Cardiovascular system
77456,1.0,,Radiation oncology
42105,1.0,,Digestive system
S3866,,Genetic analysis for a specific gene mutation for hypertrophic cardiomyopathy (hcm) in an individual with a known hcm mutation in the family,Spec gene test hyp cardiomy
69938,1.0,,Auditory system
53010,1.0,,Urinary system
00143,1.0,,Head
3306F,2.0,,Diagnostic/screening processes or results
38657,1.0,,Hemic and lymphatic systems
E2605,,"Positioning wheelchair seat cushion, width less than 22 inches, any depth",Position wc cush wdth <22 in
43547,1.0,,Digestive system
86442,1.0,,Immunology
78873,1.0,,Nuclear medicine
32310,1.0,,Respiratory system
43530,1.0,,Digestive system
93497,1.0,,Cardiovascular
52154,1.0,,Urinary system
43245,1.0,,Digestive system
46813,1.0,,Digestive system
69466,1.0,,Auditory system
56831,1.0,,Female genital system
01755,1.0,,Upper arm and elbow
35470,1.0,,Cardiovascular system
79133,1.0,,Nuclear medicine
76299,1.0,,Diagnostic imaging
61409,1.0,,Nervous system
79006,1.0,,Nuclear medicine
54401,1.0,,Male genital system
32533,1.0,,Respiratory system
58909,1.0,,Female genital system
21699,1.0,,Musculoskeletal system
62889,1.0,,Nervous system
Q2042,,"Tisagenlecleucel, up to 600 million car-positive viable t cells, including leukapheresis and dose preparation procedures, per therapeutic dose",Tisagenlecleucel car-pos t
22675,1.0,,Musculoskeletal system
G9751,,Patient died at any time during the 24-month measurement period,Pt died w/in 24 mos rpt time
11265,1.0,,Integumentary system
72764,1.0,,Diagnostic imaging
26216,1.0,,Musculoskeletal system
63197,1.0,,Nervous system
47070,1.0,,Digestive system
60687,1.0,,Endocrine system
13117,1.0,,Integumentary system
52009,1.0,,Urinary system
91153,1.0,,Gastroenterology
38892,1.0,,Hemic and lymphatic systems
92366,1.0,,Ophthalmology
L2550,,"Addition to lower extremity, thigh/weight bearing, high roll cuff",Thigh/wght bear high roll cu
78206,1.0,,Nuclear medicine
56624,1.0,,Female genital system
55597,1.0,,Male genital system
76303,1.0,,Diagnostic imaging
31133,1.0,,Respiratory system
G4   ,,Most recent urr reading of 70 to 74.9,Urr reading of 70 to 74.9
L6055,,"Wrist disarticulation, molded socket with expandable interface, flexible elbow hinges, triceps pad",Wrst mold sock w/exp interfa
57198,1.0,,Female genital system
99142,1.0,,Conscious sedation (deleted codes)
78560,1.0,,Nuclear medicine
58591,1.0,,Female genital system
54460,1.0,,Male genital system
77494,1.0,,Radiation oncology
00403,1.0,,Thorax
26692,1.0,,Musculoskeletal system
J9034,,"Injection, bendamustine hcl (bendeka), 1 mg","Inj., bendeka 1 mg"
V5261,,"Hearing aid, digital, binaural, bte","Hearing aid, digit, bin, bte"
14432,1.0,,Integumentary system
43965,1.0,,Digestive system
62560,1.0,,Nervous system
95942,1.0,,Neurology and neuromuscular procedures
97494,1.0,,Physical medicine and rehabilitation
21992,1.0,,Musculoskeletal system
83795,1.0,,Chemistry
28825,1.0,,Musculoskeletal system
64536,1.0,,Nervous system
41744,1.0,,Digestive system
20724,1.0,,Musculoskeletal system
37237,1.0,,Cardiovascular system
