icd_code,icd_version,long_title
S230XXD,10,"Traumatic rupture of thoracic intervertebral disc, subsequent encounter"
Z6836,10,"Body mass index (BMI) 36.0-36.9, adult"
S21121S,10,"Laceration with foreign body of right front wall of thorax without penetration into thoracic cavity, sequela"
T415X2A,10,"Poisoning by therapeutic gases, intentional self-harm, initial encounter"
O318X20,10,"Other complications specific to multiple gestation, second trimester, not applicable or unspecified"
S4492,10,"Injury of unspecified nerve at shoulder and upper arm level, left arm"
9733,9,"Poisoning by other cathartics, including intestinal atonia"
Z205,10,Contact with and (suspected) exposure to viral hepatitis
V9732XD,10,"Injured by rotating propeller, subsequent encounter"
S52522D,10,"Torus fracture of lower end of left radius, subsequent encounter for fracture with routine healing"
S32424K,10,"Nondisplaced fracture of posterior wall of right acetabulum, subsequent encounter for fracture with nonunion"
E9337,9,Intravenous bisphosphonates
S92023S,10,"Displaced fracture of anterior process of unspecified calcaneus, sequela"
S0124XS,10,"Puncture wound with foreign body of nose, sequela"
J9383,10,Other pneumothorax
T65891,10,"Toxic effect of other specified substances, accidental (unintentional)"
01632,9,"Tuberculosis of other urinary organs, bacteriological or histological examination unknown (at present)"
S80262S,10,"Insect bite (nonvenomous), left knee, sequela"
Y280XXS,10,"Contact with sharp glass, undetermined intent, sequela"
W65XXXA,10,"Accidental drowning and submersion while in bath-tub, initial encounter"
T6291XS,10,"Toxic effect of unspecified noxious substance eaten as food, accidental (unintentional), sequela"
R7881,10,Bacteremia
38524,9,Partial loss or necrosis of ear ossicles
S56413,10,"Strain of extensor muscle, fascia and tendon of right middle finger at forearm level"
V1641,9,Family history of malignant neoplasm of ovary
M4600,10,"Spinal enthesopathy, site unspecified"
T84049S,10,"Periprosthetic fracture around unspecified internal prosthetic joint, sequela"
F14950,10,"Cocaine use, unspecified with cocaine-induced psychotic disorder with delusions"
4429,9,Aneurysm of unspecified site
S62292P,10,"Other fracture of first metacarpal bone, left hand, subsequent encounter for fracture with malunion"
S2231XA,10,"Fracture of one rib, right side, initial encounter for closed fracture"
S92404A,10,"Nondisplaced unspecified fracture of right great toe, initial encounter for closed fracture"
S06381A,10,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 30 minutes or less, initial encounter"
W16811A,10,"Jumping or diving into other water striking water surface causing drowning and submersion, initial encounter"
T566X4,10,"Toxic effect of tin and its compounds, undetermined"
Q143,10,Congenital malformation of choroid
S12390A,10,"Other displaced fracture of fourth cervical vertebra, initial encounter for closed fracture"
S15009D,10,"Unspecified injury of unspecified carotid artery, subsequent encounter"
T63612S,10,"Toxic effect of contact with Portugese Man-o-war, intentional self-harm, sequela"
Z140,10,Hemophilia A carrier
