icd_code,icd_version,long_title
0D9A8ZZ,10,"Drainage of Jejunum, Via Natural or Artificial Opening Endoscopic"
F0DZ11Z,10,Monaural Hearing Aid Device Fitting using Audiometer
06LM0DZ,10,"Occlusion of Right Femoral Vein with Intraluminal Device, Open Approach"
0V924ZZ,10,"Drainage of Left Seminal Vesicle, Percutaneous Endoscopic Approach"
DV014ZZ,10,"Beam Radiation of Testis using Heavy Particles (Protons,Ions)"
3E0P8GC,10,"Introduction of Other Therapeutic Substance into Female Reproductive, Via Natural or Artificial Opening Endoscopic"
0RPNX0Z,10,"Removal of Drainage Device from Right Wrist Joint, External Approach"
0NCB4ZZ,10,"Extirpation of Matter from Nasal Bone, Percutaneous Endoscopic Approach"
0QU23JZ,10,"Supplement Right Pelvic Bone with Synthetic Substitute, Percutaneous Approach"
0BP10CZ,10,"Removal of Extraluminal Device from Trachea, Open Approach"
0KSR0ZZ,10,"Reposition Left Upper Leg Muscle, Open Approach"
06160AY,10,"Bypass Inferior Mesenteric Vein to Lower Vein with Autologous Arterial Tissue, Open Approach"
0RH038Z,10,"Insertion of Spacer into Occipital-cervical Joint, Percutaneous Approach"
0H81XZZ,10,"Division of Face Skin, External Approach"
0NQ40ZZ,10,"Repair Left Parietal Bone, Open Approach"
0LRV4KZ,10,"Replacement of Right Foot Tendon with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
047W341,10,"Dilation of Left Foot Artery with Drug-eluting Intraluminal Device, using Drug-Coated Balloon, Percutaneous Approach"
0RPT35Z,10,"Removal of External Fixation Device from Left Carpometacarpal Joint, Percutaneous Approach"
03UB0JZ,10,"Supplement Right Radial Artery with Synthetic Substitute, Open Approach"
047V3ZZ,10,"Dilation of Right Foot Artery, Percutaneous Approach"
0NUX3JZ,10,"Supplement Hyoid Bone with Synthetic Substitute, Percutaneous Approach"
009G00Z,10,"Drainage of Optic Nerve with Drainage Device, Open Approach"
0RWE33Z,10,"Revision of Infusion Device in Right Sternoclavicular Joint, Percutaneous Approach"
3E0G7HZ,10,"Introduction of Radioactive Substance into Upper GI, Via Natural or Artificial Opening"
0CMXXZ0,10,"Reattachment of Lower Tooth, Single, External Approach"
02BN4ZZ,10,"Excision of Pericardium, Percutaneous Endoscopic Approach"
0K843ZZ,10,"Division of Tongue, Palate, Pharynx Muscle, Percutaneous Approach"
0UP87DZ,10,"Removal of Intraluminal Device from Fallopian Tube, Via Natural or Artificial Opening"
0PWM05Z,10,"Revision of External Fixation Device in Right Carpal, Open Approach"
06184ZB,10,"Bypass Portal Vein to Left Renal Vein, Percutaneous Endoscopic Approach"
05VN4CZ,10,"Restriction of Left Internal Jugular Vein with Extraluminal Device, Percutaneous Endoscopic Approach"
0DL94CZ,10,"Occlusion of Duodenum with Extraluminal Device, Percutaneous Endoscopic Approach"
0S5F3ZZ,10,"Destruction of Right Ankle Joint, Percutaneous Approach"
0B9M30Z,10,"Drainage of Bilateral Lungs with Drainage Device, Percutaneous Approach"
0NH53SZ,10,"Insertion of Hearing Device into Right Temporal Bone, Percutaneous Approach"
0DWU40Z,10,"Revision of Drainage Device in Omentum, Percutaneous Endoscopic Approach"
0W9L0ZX,10,"Drainage of Lower Back, Open Approach, Diagnostic"
0RGJ4ZZ,10,"Fusion of Right Shoulder Joint, Percutaneous Endoscopic Approach"
0XP6X3Z,10,"Removal of Infusion Device from Right Upper Extremity, External Approach"
061N4JY,10,"Bypass Left Femoral Vein to Lower Vein with Synthetic Substitute, Percutaneous Endoscopic Approach"
0NRP4JZ,10,"Replacement of Right Orbit with Synthetic Substitute, Percutaneous Endoscopic Approach"
0P9G0ZX,10,"Drainage of Left Humeral Shaft, Open Approach, Diagnostic"
0RGR0JZ,10,"Fusion of Left Carpal Joint with Synthetic Substitute, Open Approach"
07958ZZ,10,"Drainage of Right Axillary Lymphatic, Via Natural or Artificial Opening Endoscopic"
03540ZZ,10,"Destruction of Left Subclavian Artery, Open Approach"
DG109CZ,10,High Dose Rate (HDR) Brachytherapy of Pituitary Gland using Californium 252 (Cf-252)
0F7F4DZ,10,"Dilation of Accessory Pancreatic Duct with Intraluminal Device, Percutaneous Endoscopic Approach"
3E043VJ,10,"Introduction of Other Hormone into Central Vein, Percutaneous Approach"
06C74ZZ,10,"Extirpation of Matter from Colic Vein, Percutaneous Endoscopic Approach"
0RP44AZ,10,"Removal of Interbody Fusion Device from Cervicothoracic Vertebral Joint, Percutaneous Endoscopic Approach"
0RS634Z,10,"Reposition Thoracic Vertebral Joint with Internal Fixation Device, Percutaneous Approach"
0RWW08Z,10,"Revision of Spacer in Right Finger Phalangeal Joint, Open Approach"
D020HZZ,10,Stereotactic Particulate Radiosurgery of Brain
00564ZZ,10,"Destruction of Cerebral Ventricle, Percutaneous Endoscopic Approach"
047T4DZ,10,"Dilation of Right Peroneal Artery with Intraluminal Device, Percutaneous Endoscopic Approach"
009R4ZX,10,"Drainage of Accessory Nerve, Percutaneous Endoscopic Approach, Diagnostic"
0RSW35Z,10,"Reposition Right Finger Phalangeal Joint with External Fixation Device, Percutaneous Approach"
0S980ZX,10,"Drainage of Left Sacroiliac Joint, Open Approach, Diagnostic"
0477366,10,"Dilation of Left Colic Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach"
0JX00ZB,10,"Transfer Scalp Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
0PRM4KZ,10,"Replacement of Right Carpal with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
05WY3KZ,10,"Revision of Nonautologous Tissue Substitute in Upper Vein, Percutaneous Approach"
0NP03KZ,10,"Removal of Nonautologous Tissue Substitute from Skull, Percutaneous Approach"
XHRPXL2,10,"Replacement of Skin using Porcine Liver Derived Skin Substitute, External Approach, New Technology Group 2"
05UH07Z,10,"Supplement Left Hand Vein with Autologous Tissue Substitute, Open Approach"
DB18B7Z,10,Low Dose Rate (LDR) Brachytherapy of Diaphragm using Cesium 137 (Cs-137)
0MN1XZZ,10,"Release Right Shoulder Bursa and Ligament, External Approach"
04744GZ,10,"Dilation of Splenic Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach"
CD1YYZZ,10,Planar Nuclear Medicine Imaging of Digestive System using Other Radionuclide
0G9D0ZZ,10,"Drainage of Aortic Body, Open Approach"
0QB24ZZ,10,"Excision of Right Pelvic Bone, Percutaneous Endoscopic Approach"
04N24ZZ,10,"Release Gastric Artery, Percutaneous Endoscopic Approach"
091D070,10,"Bypass Right Inner Ear to Endolymphatic with Autologous Tissue Substitute, Open Approach"
0SJG0ZZ,10,"Inspection of Left Ankle Joint, Open Approach"
03VT0CZ,10,"Restriction of Left Temporal Artery with Extraluminal Device, Open Approach"
0KQM0ZZ,10,"Repair Perineum Muscle, Open Approach"
0Q9F0ZX,10,"Drainage of Left Patella, Open Approach, Diagnostic"
0SHQ43Z,10,"Insertion of Infusion Device into Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach"
041E0JP,10,"Bypass Right Internal Iliac Artery to Foot Artery with Synthetic Substitute, Open Approach"
0T1B07D,10,"Bypass Bladder to Cutaneous with Autologous Tissue Substitute, Open Approach"
0X024KZ,10,"Alteration of Right Shoulder Region with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
B32R1ZZ,10,Computerized Tomography (CT Scan) of Intracranial Arteries using Low Osmolar Contrast
10Q04YG,10,"Repair Lymphatics and Hemic in Products of Conception with Other Device, Percutaneous Endoscopic Approach"
0V950ZX,10,"Drainage of Scrotum, Open Approach, Diagnostic"
0DRT47Z,10,"Replacement of Lesser Omentum with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
CP11YZZ,10,Planar Nuclear Medicine Imaging of Skull using Other Radionuclide
0XJ44ZZ,10,"Inspection of Right Axilla, Percutaneous Endoscopic Approach"
031C3ZF,10,"Bypass Left Radial Artery to Lower Arm Vein, Percutaneous Approach"
0DPD03Z,10,"Removal of Infusion Device from Lower Intestinal Tract, Open Approach"
0TC10ZZ,10,"Extirpation of Matter from Left Kidney, Open Approach"
04104KK,10,"Bypass Abdominal Aorta to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
0FU84KZ,10,"Supplement Cystic Duct with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
0TL78ZZ,10,"Occlusion of Left Ureter, Via Natural or Artificial Opening Endoscopic"
07CD0ZZ,10,"Extirpation of Matter from Aortic Lymphatic, Open Approach"
5282,9,Homotransplant of pancreas
05N50ZZ,10,"Release Right Subclavian Vein, Open Approach"
BH061ZZ,10,Plain Radiography of Left Multiple Mammary Ducts using Low Osmolar Contrast
0RPW44Z,10,"Removal of Internal Fixation Device from Right Finger Phalangeal Joint, Percutaneous Endoscopic Approach"
06J,10,"Lower Veins, Inspection"
047J0GZ,10,"Dilation of Left External Iliac Artery with Four or More Intraluminal Devices, Open Approach"
