role,icd_code,icd_version_inferred,chapter,diagnosis,patients
principal,U071,ICD-10,"Codes for special purposes, including COVID-19",COVID-19,11
principal,Q231,ICD-10,Congenital malformations and chromosomal abnormalities,Congenital insufficiency of aortic valve,3
principal,Q018,ICD-10,Congenital malformations and chromosomal abnormalities,Encephalocele of other sites,1
principal,Q211,ICD-10,Congenital malformations and chromosomal abnormalities,Atrial septal defect,1
principal,Q244,ICD-10,Congenital malformations and chromosomal abnormalities,Congenital subaortic stenosis,1
principal,Q2739,ICD-10,Congenital malformations and chromosomal abnormalities,"Arteriovenous malformation, other site",1
principal,Q341,ICD-10,Congenital malformations and chromosomal abnormalities,Congenital cyst of mediastinum,1
principal,7455,ICD-9,Congenital malformations and chromosomal abnormalities,Ostium secundum type atrial septal defect,1
principal,75162,ICD-9,Congenital malformations and chromosomal abnormalities,Congenital cystic disease of liver,1
principal,75612,ICD-9,Congenital malformations and chromosomal abnormalities,Spondylolisthesis,1
principal,28800,ICD-9,Diseases of the blood and immune mechanism,"Neutropenia, unspecified",2
principal,2851,ICD-9,Diseases of the blood and immune mechanism,Acute posthemorrhagic anemia,1
principal,28529,ICD-9,Diseases of the blood and immune mechanism,Anemia of other chronic disease,1
principal,2875,ICD-9,Diseases of the blood and immune mechanism,"Thrombocytopenia, unspecified",1
principal,D62,ICD-10,Diseases of the blood and immune mechanism,Acute posthemorrhagic anemia,2
principal,D6832,ICD-10,Diseases of the blood and immune mechanism,Hemorrhagic disorder due to extrinsic circulating anticoagulants,2
principal,D500,ICD-10,Diseases of the blood and immune mechanism,Iron deficiency anemia secondary to blood loss (chronic),1
principal,D61818,ICD-10,Diseases of the blood and immune mechanism,Other pancytopenia,1
principal,D619,ICD-10,Diseases of the blood and immune mechanism,"Aplastic anemia, unspecified",1
principal,D693,ICD-10,Diseases of the blood and immune mechanism,Immune thrombocytopenic purpura,1
principal,D709,ICD-10,Diseases of the blood and immune mechanism,"Neutropenia, unspecified",1
principal,I214,ICD-10,Diseases of the circulatory system,Non-ST elevation (NSTEMI) myocardial infarction,17
principal,I671,ICD-10,Diseases of the circulatory system,"Cerebral aneurysm, nonruptured",14
principal,I2510,ICD-10,Diseases of the circulatory system,Atherosclerotic heart disease of native coronary artery without angina pectoris,9
principal,I130,ICD-10,Diseases of the circulatory system,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",7
principal,I25110,ICD-10,Diseases of the circulatory system,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,6
principal,I350,ICD-10,Diseases of the circulatory system,Nonrheumatic aortic (valve) stenosis,6
principal,I110,ICD-10,Diseases of the circulatory system,Hypertensive heart disease with heart failure,5
principal,I25119,ICD-10,Diseases of the circulatory system,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris,5
principal,I340,ICD-10,Diseases of the circulatory system,Nonrheumatic mitral (valve) insufficiency,5
principal,I611,ICD-10,Diseases of the circulatory system,"Nontraumatic intracerebral hemorrhage in hemisphere, cortical",4
principal,I714,ICD-10,Diseases of the circulatory system,"Abdominal aortic aneurysm, without rupture",4
principal,I2699,ICD-10,Diseases of the circulatory system,Other pulmonary embolism without acute cor pulmonale,3
principal,I639,ICD-10,Diseases of the circulatory system,"Cerebral infarction, unspecified",3
principal,I080,ICD-10,Diseases of the circulatory system,Rheumatic disorders of both mitral and aortic valves,2
principal,I081,ICD-10,Diseases of the circulatory system,Rheumatic disorders of both mitral and tricuspid valves,2
principal,I2109,ICD-10,Diseases of the circulatory system,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,2
principal,I2119,ICD-10,Diseases of the circulatory system,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,2
principal,I213,ICD-10,Diseases of the circulatory system,ST elevation (STEMI) myocardial infarction of unspecified site,2
principal,I25118,ICD-10,Diseases of the circulatory system,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris,2
principal,I2694,ICD-10,Diseases of the circulatory system,Multiple subsegmental pulmonary emboli without acute cor pulmonale,2
principal,I313,ICD-10,Diseases of the circulatory system,Pericardial effusion (noninflammatory),2
principal,I319,ICD-10,Diseases of the circulatory system,"Disease of pericardium, unspecified",2
principal,I5023,ICD-10,Diseases of the circulatory system,Acute on chronic systolic (congestive) heart failure,2
principal,I6201,ICD-10,Diseases of the circulatory system,Nontraumatic acute subdural hemorrhage,2
principal,I63311,ICD-10,Diseases of the circulatory system,Cerebral infarction due to thrombosis of right middle cerebral artery,2
principal,I63312,ICD-10,Diseases of the circulatory system,Cerebral infarction due to thrombosis of left middle cerebral artery,2
principal,I63411,ICD-10,Diseases of the circulatory system,Cerebral infarction due to embolism of right middle cerebral artery,2
principal,I81,ICD-10,Diseases of the circulatory system,Portal vein thrombosis,2
principal,I161,ICD-10,Diseases of the circulatory system,Hypertensive emergency,1
principal,I2102,ICD-10,Diseases of the circulatory system,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,1
principal,I2129,ICD-10,Diseases of the circulatory system,ST elevation (STEMI) myocardial infarction involving other sites,1
principal,I25710,ICD-10,Diseases of the circulatory system,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris,1
principal,I2692,ICD-10,Diseases of the circulatory system,Saddle embolus of pulmonary artery without acute cor pulmonale,1
principal,I2720,ICD-10,Diseases of the circulatory system,"Pulmonary hypertension, unspecified",1
principal,I288,ICD-10,Diseases of the circulatory system,Other diseases of pulmonary vessels,1
principal,I309,ICD-10,Diseases of the circulatory system,"Acute pericarditis, unspecified",1
principal,I341,ICD-10,Diseases of the circulatory system,Nonrheumatic mitral (valve) prolapse,1
principal,I351,ICD-10,Diseases of the circulatory system,Nonrheumatic aortic (valve) insufficiency,1
principal,I421,ICD-10,Diseases of the circulatory system,Obstructive hypertrophic cardiomyopathy,1
principal,I442,ICD-10,Diseases of the circulatory system,"Atrioventricular block, complete",1
principal,I480,ICD-10,Diseases of the circulatory system,Paroxysmal atrial fibrillation,1
principal,I481,ICD-10,Diseases of the circulatory system,Persistent atrial fibrillation,1
principal,I4819,ICD-10,Diseases of the circulatory system,Other persistent atrial fibrillation,1
principal,I4891,ICD-10,Diseases of the circulatory system,Unspecified atrial fibrillation,1
principal,I5082,ICD-10,Diseases of the circulatory system,Biventricular heart failure,1
principal,I5181,ICD-10,Diseases of the circulatory system,Takotsubo syndrome,1
principal,I6011,ICD-10,Diseases of the circulatory system,Nontraumatic subarachnoid hemorrhage from right middle cerebral artery,1
principal,I602,ICD-10,Diseases of the circulatory system,Nontraumatic subarachnoid hemorrhage from anterior communicating artery,1
principal,I604,ICD-10,Diseases of the circulatory system,Nontraumatic subarachnoid hemorrhage from basilar artery,1
principal,I607,ICD-10,Diseases of the circulatory system,Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery,1
principal,I609,ICD-10,Diseases of the circulatory system,"Nontraumatic subarachnoid hemorrhage, unspecified",1
principal,I614,ICD-10,Diseases of the circulatory system,Nontraumatic intracerebral hemorrhage in cerebellum,1
principal,I618,ICD-10,Diseases of the circulatory system,Other nontraumatic intracerebral hemorrhage,1
principal,I63431,ICD-10,Diseases of the circulatory system,Cerebral infarction due to embolism of right posterior cerebral artery,1
principal,I63433,ICD-10,Diseases of the circulatory system,Cerebral infarction due to embolism of bilateral posterior cerebral arteries,1
principal,I63511,ICD-10,Diseases of the circulatory system,Cerebral infarction due to unspecified occlusion or stenosis of right middle cerebral artery,1
principal,I63512,ICD-10,Diseases of the circulatory system,Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery,1
principal,I6522,ICD-10,Diseases of the circulatory system,Occlusion and stenosis of left carotid artery,1
principal,I675,ICD-10,Diseases of the circulatory system,Moyamoya disease,1
